Record URL,Draft Date,Document Number,Film Number,From,Subject,TAGS,To,Message Text,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
https://aad.archives.gov/aad/createpdf?rid=46050&dt=2474&dl=1345,29 MAR 1974,1974LAPAZ01946,D740070-0451,LA PAZ,TECHNICAL ASSISTANCE REQUESTED FROM GOB,"EMIN, BL, US",STATE,"TAXATION METHOD TO BE USED IN BOLIVIA: AND (4... BOLIVIA (GEOBOL) TO TAKE INVENTROY
OF ALL",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78767&dt=2474&dl=1345,01 APR 1974,1974LAPAZ02004,D740072-0501,LA PAZ,APPLEGATE/YOUNGQUIST CASE,"BDIS, ETRD, EAGR, BL, US, (MORAN, J ANTHONY), (APPLEGATE), (YOUNGQUIST)",STATE,"TRAVELS TO BOLIVIA WHERE HE
IS RAISING... BOLIVIA, AWARDED 5,000 HECTARES
(12,355....
YOUNGQUIST REPORTEDLY PASSES THROUGH BOLIVIA... ACTION AGAINST
BOLIVIA BY THE CONGRESS BEFORE",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=71032&dt=2474&dl=1345,02 APR 1974,1974LAPAZ02024,D740073-0657,LA PAZ,RECENT DEVELOPMENTS IN BOLIVIA'S QUEST FOR AN ACCESS TO THE SEA.,"PINT, PFOR, BL, CI, PE",STATE,"DEVELOPMENTS IN BOLIVIA'S QUEST FOR AN ACCESS... OF SPECULATIVE COMMENTARY IN BOLIVIA ON... BEGINNING OF BOLIVIA'S
ANNUAL ""WEEK OF THE SEA... DIFFICULTIES FACING BOLIVIA IN ITS
EFFORTS... GOVERNMENT OF BOLIVIA
ITSELF APPEARED TO BE IN",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=76632&dt=2474&dl=1345,02 APR 1974,1974LAPAZ02035,D740074-1045,LA PAZ,BOLIVIAN VIEWS ON PROPOSED PANAMA CANAL TOLL INCREASE,"PFOR, PN, BL",STATE,"GOVERNMENT OF BOLIVIA WOULD VIEW WITH...
FOLLOWING REASONS:

1) BOLIVIA, BECAUSE OF...,
BOLIVIA WOULD HAVE TO SUPPORT AN... BOLIVIA'S EXPORT
SITUATION. IN THE SAME... IS UN-
DENIABLE THAT BOLIVIA WOULD SUFFER",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=86972&dt=2474&dl=1345,04 APR 1974,1974LAPAZ02080,D740076-1109,LA PAZ,COMMERCIAL ACTION PROGRAM FY 74,"BEXP, AFSP",STATE,"BOLIVIA AND FULL INTENT OF
CAP REALIZED WITH",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70996&dt=2474&dl=1345,04 APR 1974,1974LAPAZ02085,D740076-0490,LA PAZ,POSSIBLE BOLIVIAN INTEREST IN USG GOOD OFFICES TO ACHIEVE OUTLET TO  THE SEA,"PFOR, BL, US, CI, PE",STATE,"US HELP BOLIVIA
ACHIEVE AN OUTLET TO THE... MINISTERS OF CHILE, PERU AND BOLIVIA
TO MEET... PRESENT POLICY
OF HOPING THAT BOLIVIA, THROUGH... GOOD OFFICES TO ASSIST BOLIVIA. IT
WOULD",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=70997&dt=2474&dl=1345,04 APR 1974,1974LAPAZ02065,D740076-0579,LA PAZ,"PRESIDENT CONVOKES ""NATIONAL ASSEMBLY"" TO DISCUSS ACCESS TO THE SEA  ISSUE","PINT, PFOR, BL, CI, PE, (BANZER SUAREZ, HUGO)",STATE,", FIVE FORMER PRESIDENT OF BOLIVIA
(DAVID",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=78582&dt=2474&dl=1345,05 APR 1974,1974LAPAZ02117,D740078-0726,LA PAZ,ARGENTINE OVERTURE TO BOLVIAN FOREIGN MINISTRY ON CUBA,"PFOR, BL, CU, AR, US, XM",STATE,"SHOULD
REMAIN. HE POINTED OUT THAT BOLIVIA",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=81441&dt=2474&dl=1345,05 APR 1974,1974LAPAZ02148,D740080-0192,LA PAZ,CERP 0008 - EVALUATION OF UN ASSISTANCE PROGRAMS,"EAID, ECRP, BL, UNDP",STATE,"SYSTEM. (SUBPARA A).
THE RESREP IN BOLIVIA...
DEPARTMENTS OF BOLIVIA AND ASSISTANCE TO",NA,NA,NA,NA,NA,NA,NA,NA
https://aad.archives.gov/aad/createpdf?rid=87805&dt=2474&dl=1345,05 APR 1974,1974LAPAZ02119,D740077-0759,LA PAZ,W/W HARRY GOULDING FOR: HARRY J & VELMA B GOULDING,"CASC, (GOULDING, HARRY)",STATE,"FROM BOLIVIA. PLEASE SEND CABLE TO... PAZ BOLIVIA.
STEDMAN

NOTE BY OC/T:  LA",NA,NA,NA,NA,NA,NA,NA,NA
