Record URL,Generic Code,Student Code,Program Originator,Country/Activity Code,Type of Assistance Code,Program Year,Select Item Description Number,Total Delivery Cost
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71588&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630",Undefined Code,,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,131446
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71592&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630",Undefined Code,,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,18038
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71593&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630",Undefined Code,,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,TRAINING,374373
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71600&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Support Equipment, Construction Equipment: Full track tractors",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,TRACTORS CRLR + WHLD [Wheeled],173298
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71603&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Support Equipment, Construction Equipment: Earthmoving and excavating equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MAJOR CONSTR [Construction] EQP [Equipment] ITEMS,55296
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71605&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Support Equipment, Construction Equipment: Miscellaneous construction equipment",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,MISC [Equipment] OTHER SUPPORT EQP [Equipment],6768
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71606&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Support Equipment, Other Support Equipment: Pumps and Compressors",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,COMPRESSORS 100CEM+LARGER,41694
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71609&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Maintenance of Equipment, Repair and 
Rehabilitation of MAP [Military Assistance Program] Equipment: Repair 
and rehabilitation of aircraft and aircraft engine overhauls (Include 
aircraft IRAN)",,MAAG [Military Assistance Advisory Group] (Air Force),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,REPAIR AND REHABILITATION,113920
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71612&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Combat Vehicles, Armored Carriers: Personnel Carriers, full track",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,"Grant Aid rendered under the authority of
 the Foreign Assistance Act of 1961, as amended for which the United 
States receives no reimbursement.",1971,CARR [Carrier] PERS [Personnel] ARMD [Armored] FULL TRACK,97769
"https://aad.archives.gov/aad/record-detail.jsp?dt=1679&mtch=69&cat=all&tf=F&q=bolivia+1971&bc=&rpp=50&pg=2&rid=71630&rlst=71588,71592,71593,71600,71603,71605,71606,71609,71612,71630","Communications Equipment, Communications 
Equipment Spare Parts and Electronic Supplies: Communications Equipment 
Spare Parts and Electronic supplies",,MAAG [Military Assistance Advisory  Group] (Army),Bolivia,Grant Aid rendered under special Presidential Determination.,1971,COMMUNICATION EQP [Equipment] SPARES,13200
