source_file,cable_date,cable_from,cable_to,cable_subject,cable_tags,cable_ref,doc_number,classification,declass_date,concepts
filename_1738525409284.pdf,31 jul 1979,AMEMBASSY LA PAZ,AMEMBISSY LIMA,PERU COCA SURVEY TEAM VISIT TO BOLIVIA,"SNAR, BL, PE",NA,1979LAPAZ06523,UNCLASSIFIED,20 Mar 2014,"OPIUM, SURVEYS"
filename_1738525409299.pdf,20 mar 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC PRIORITY 5322,"EXPORT 79, TRADE FAIR OF THE AMERICAS, COCONUT GROVE EXHIBITION CENTER, MIAMI, FLA. JULY 21-28, 1979","BEXP, BL",NA,1979LAPAZ02423,UNCLASSIFIED,20 Mar 2014,n/a
filename_1738525410335.pdf,20 oct 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC NIACT IMMEDIATE 8764,NA,"ASEC, OVIP (VANCE, CYRUS)",NA,1979LAPAZ08952,UNCLASSIFIED,20 Mar 2014,n/a
filename_1738525411129.pdf,23 oct 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC NIACT IMMEDIATE 8811,NA,"ASEC, OVIP (VANCE, CYRUS)",NA,1979LAPAZ09050,UNCLASSIFIED,20 Mar 2014,n/a
filename_1738525411197.pdf,08 jul 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC NIACT IMMEDIATE 7151,PROPOSED REPLY OF PRESIDENT CARTER TO PRESIDENT PADILLA'S LETTER OF JULY 6,"PFORN, BL","A) LA PAZ 5832, B) LA PAZ 5831",1979LAPAZ05838,UNCLASSIFIED,20 Mar 2014,"DEMOCRACY, POLICIES, TIN, DIPLOMATIC COMMUNICATIONS, ELECTIONS, STOCKPILE DISPOSAL, ACCESS TO PORTS"
filename_1738525411473.pdf,31 oct 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC IMMEDIATE 8952,TEXT OF BOLIVIAN ACCESS TO SEA (SPANISH),OAS,NA,1979LAPAZ09290,UNCLASSIFIED,20 Mar 2014,"TEXT, LANDLOCKED COUNTRIES, ACCESS TO PORTS"
filename_1738525411598.pdf,14 nov 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC 9269,THE ECONOMIC EFFECTS OF BOLIVIA'S POLITICAL CRISIS - TIN,"EMIN, ECON, BL",NA,1979LAPAZ09817,UNCLASSIFIED,20 Mar 2014,"TIN, ECONOMIC CONDITIONS, MINING INDUSTRY, LABOR STRIKES"
filename_1738525412273.pdf,20 nov 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC NIACT IMMEDIATE 9385,MFA NOTE ON CONTINUATION OF RELATIONS,"PDIP, BL",NA,1979LAPAZ10015,UNCLASSIFIED,20 Mar 2014,"FOREIGN RELATIONS, TEXT, DIPLOMATIC NOTES"
filename_1738525412326.pdf,31 may 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC 6535,BOLIVIA'S PROJECTED NON-PETROLEUM MINERALS PRODUCTION/ EXPORTS FOR 1979,"BL, EMIN",NA,1979LAPAZ04733,UNCLASSIFIED,20 Mar 2014,"TIN, PRODUCTION, MINERALS, EXPORT DATA"
filename_1738525412518.pdf,28 mar 1979,AMEMBASSY LA PAZ,SECSTATE WASHDC 5432,(U) BOLIVIA COMMEMORATES CENTENNIAL OF WAR OF THE PACIFIC,"POINT, BL",NA,1979LAPAZ02637,UNCLASSIFIED,20 Mar 2014,"WAR, COMMEMORATIVE CELEBRATIONS, ACCESS TO PORTS"
